time_period,time_identifier,geographic_level,country_code,country_name,version,characteristic_gender,subject,entries,91AstarG,94AstarC,97AstarA,9to5,grade9,grade8,grade7,grade6,grade5,grade4,grade3,grade2,grade1,grade99,grade98,grade88,grade87,grade77,grade76,grade66,grade65,grade55,grade54,grade44,grade43,grade33,grade32,grade22,grade21,grade11,gradeAstar,gradeA,gradeB,gradeC,gradeD,gradeE,gradeF,gradeG
200910,Academic year,National,E92000001,England,Final,Boys,Italian,1396,99.1,85.2,56.7,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,39.1,17.6,13.9,14.5,7.6,3.9,1.5,0.9
200910,Academic year,National,E92000001,England,Final,Girls,Italian,2160,99.7,89.7,61.9,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,38.8,23.1,16,11.8,7,1.9,0.6,0.5
200910,Academic year,National,E92000001,England,Final,Total,Latin,9356,99,93,70.6,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,45.8,24.7,13.3,9.1,4.4,1.3,0.3,0.1
200910,Academic year,National,E92000001,England,Final,Boys,Latin,4702,98.7,91,66.1,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,41.2,25,14.5,10.4,5.6,1.7,0.3,c
200910,Academic year,National,E92000001,England,Final,Girls,Latin,4654,99.4,95,75.1,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,50.6,24.5,12.1,7.8,3.2,0.9,0.2,c
200910,Academic year,National,E92000001,England,Final,Total,Mathematics,611205,98.2,64.6,19.2,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,6.1,13.1,18,27.5,13.7,9.3,7,3.5
200910,Academic year,National,E92000001,England,Final,Boys,Mathematics,309181,98.2,64.5,19.3,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,6.3,13,17.8,27.4,13.6,9.4,7.1,3.5
200910,Academic year,National,E92000001,England,Final,Girls,Mathematics,302024,98.3,64.8,19.1,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,6,13.1,18.1,27.5,13.8,9.3,6.9,3.5
200910,Academic year,National,E92000001,England,Final,Total,Media/Film/TV,58586,97.2,66.6,16.7,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,3.4,13.3,22.1,27.8,17.4,7.9,3.5,1.7
200910,Academic year,National,E92000001,England,Final,Boys,Media/Film/TV,28715,96.4,57.9,10.5,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,1.9,8.7,18.3,29.1,20.9,10.4,4.8,2.3
200910,Academic year,National,E92000001,England,Final,Girls,Media/Film/TV,29871,98,75,22.6,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,4.9,17.8,25.8,26.6,14.1,5.6,2.3,1
200910,Academic year,National,E92000001,England,Final,Total,Media: Communication and Production,345,97.7,72.2,20,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,1.2,18.8,26.7,25.5,11.6,6.1,5.2,2.6
200910,Academic year,National,E92000001,England,Final,Boys,Media: Communication and Production,174,96,67.2,13.2,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,c,12.1,25.9,28.2,13.8,6.3,5.2,3.4
200910,Academic year,National,E92000001,England,Final,Girls,Media: Communication and Production,171,99.4,77.2,26.9,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,c,25.7,27.5,22.8,9.4,5.8,5.3,1.8
200910,Academic year,National,E92000001,England,Final,Total,Music,45433,98.5,77.5,32.1,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,8.6,23.5,25.9,19.5,10.9,5.7,3,1.4
200910,Academic year,National,E92000001,England,Final,Boys,Music,23914,98.1,74.7,29,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,7.6,21.4,25.7,20,11.7,6.3,3.6,1.8
200910,Academic year,National,E92000001,England,Final,Girls,Music,21519,98.9,80.6,35.6,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,9.7,25.9,26.1,18.9,10,4.9,2.3,1.1
